;Ürün Kodu;Marka;Seri;Model;Araç Yılı;Kilometre;Vites Tipi;Yakıt Tipi;Kasa Tipi;Renk;Motor Hacmi;Motor Gücü;Çekiş Tipi;Ortalama Yakıt Tüketimi;Depo Hacmi;Boya/Değişen Bilgisi;Fiyat
1615;23686511;Ford;Focus;1.6 TDCi Collection;2011;260.000 km;Düz;Dizel;Hatchback/5;Siyah;1560 cc;110 hp;Önden Çekiş;4,8 lt;55 lt;Belirtilmemiş;600.000
1616;23686747;Ford;Focus;1.6 Ti-VCT Trend X;2012;162.000 km;Yarı Otomatik;LPG & Benzin;Station wagon;Beyaz;1596 cc;125 hp;Önden Çekiş;6 lt;55 lt;Tamamı orjinal;765.000
1617;23684923;Ford;Fiesta;1.4 TDCi Trend;2012;111.000 km;Düz;Dizel;Hatchback/5;Gri;1398 cc;70 hp;Önden Çekiş;4,2 lt;45 lt;4 değişen;540.000
1618;23684446;Ford;B-Max;1.6 Titanium;2015;74.000 km;Yarı Otomatik;Benzin;MPV;Beyaz;1596 cc;105 hp;Önden Çekiş;6,4 lt;48 lt;2 boyalı;789.000
1619;23339500;Ford;Focus;1.6 Ti-VCT Titanium;2015;124.000 km;Yarı Otomatik;LPG & Benzin;Sedan;Siyah;1596 cc;125 hp;Önden Çekiş;6,3 lt;55 lt;2 değişen, 6 boyalı;690.000
1620;23686662;Ford;Focus;1.6 TDCi Trend X;2016;215.300 km;Düz;Dizel;Sedan;Beyaz;1560 cc;95 hp;Önden Çekiş;4,5 lt;53 lt;Belirtilmemiş;745.000
1621;23684743;Ford;Focus;1.6 TDCi Titanium;2011;261.000 km;Düz;Dizel;Hatchback/5;Gri (Gümüş);1560 cc;110 hp;Önden Çekiş;4,5 lt;55 lt;Belirtilmemiş;575.000
1622;23268083;Ford;Focus;1.0 GTDi Trend X;2012;121.000 km;Düz;Benzin;Sedan;Gri;999 cc;125 hp;Önden Çekiş;5 lt;55 lt;1 boyalı;660.000
1623;23684815;Ford;Focus;1.6 Comfort;2011;194.000 km;Otomatik;LPG & Benzin;Hatchback/5;Siyah;1596 cc;100 hp;Önden Çekiş;6,7 lt;55 lt;2 boyalı;605.000
1624;23685054;Ford;Fiesta;1.5 TDCi Trend;2013;130.000 km;Düz;Dizel;Hatchback/5;Beyaz;1498 cc;75 hp;Önden Çekiş;3,7 lt;42 lt;1 değişen, 1 boyalı;550.000
